,US
0,As a farmer  I can refresh the predicted weather
1,As a farmer I can CRUD plots
2,As a farmer with a plot I can edit the parameters of a plot (current season)
3,As a farmer with a plot I can sort my plots in the list
4,As a farmer with a plot I can filter my plots in the list
5,As a farmer with a plot I can export observation data for a plot
6,As a farmer with a plot I know when my plots will be in danger
7,As a farmer irrigator I can manage my irrigations and recommendations in my favorite unit
8,As a farmer irrigator I choose my preferred irrigation unit in my user-settings
9,As a farmer irrigator I can view my irrigation recommendations in my favorite unit
10,As a admin I can CRUD a farmer
11,As a admin I can relaunch all failed simulation
